id	cargahorariapratica	cargahorariateorica	ementa	nome	curso_id	bibliografiabasica	bibliografiacomplementar	objetivogeral
11	16	48	Conceitos Básicos de Armazenamento e Recuperação. Organização e Acesso em Memória Auxiliar. Métodos de Ordenação. Busca. Implementação de Arquivos. Espalhamento (hashing). Casamento de padrão. Compressão.	ESTRUTURAS DE DADOS II	1	GOODRICH M. T. et al., Data Structures and Algorithms in Java, John Wiley & Sons, 1998.	MORAES, Celso Roberto. Estruturas de Dados e Algoritmos – Uma abordagem didática. Editora Berkeley.2001. - LEISERSON, Charles, E. RIVEST, Ronald L. CORMEN, Thomas H. Algoritmos - Teoria e Prática, Campus, 2001. - VELLOSO, P.; SANTOS, C.; AZEVEDO, P.; FURTADO, A., Estrutura de Dados, Campus, 1986 - SZWARCFITER, J.L., Estruturas de Dados e Seus Algoritmos, LTC, 1994 - KNUTH, D. The Art of Computer Programming, VOLS I, II. III, 2nd ed. 1997 - TANNENBAUM, A.M., e outros Data Structures Using C, Prentice-Hall, 1990 - SATIR, G., BROWN, D. Técnicas de Programação em C++, Infobook, 1997	A DEFINIR
12	16	48	Introdução. Resolução de problemas. Conhecimento e raciocínio. Aprendizagem. Processamento de Linguagem Natural. Aplicações.	INTELIGÊNCIA ARTIFICIAL	1	RUSSELL, Stuart e NORVIG, Peter, Inteligência Artificial . Editora Campus – 2004	BRATKO, Ivan, Prolog Programming for Artificial Intelligence (International Computer Science Series), Addison-Wesley, 2000. - Luger, George F. Inteligência Artificial - Estruturas e estratégias para a solução de problemas complexos - 4.ed.- 2004	A DEFINIR
13	0	64	Conceituação de computador, informática e software. Histórico da computação. Noções básicas de arquitetura e organização de computadores; unidade central de processamento; memória; conjunto de instruções; execução de instruções; dispositivos de entrada/saída; comunicação com periféricos (fluxo de dados); Armazenamento (disco rígido, CD-ROM, DVD e outros) e representação de dados; sistemas de arquivos; sistemas de numeração; aritmética binária, hexadecimal e decimal; representação de números em ponto fixo e ponto flutuante; representação de caracteres, conceitos de álgebra booleana. Software básico; sistemas operacionais e sistemas gerenciadores de bancos de dados. Conceitos de sistemas; administração da informação; categorização dos sistemas quanto à função, serviços; formas de comercialização, instalação e uso. Noções de software: evolução de linguagens de programação, compiladores e interpretadores, desenvolvimento (análise e projeto), ética, segurança, emprego (e as consequências decorrentes), riscos e tecnologias emergentes. Aplicativos: processadores de texto, planilhas de cálculo, editores gráficos e de apresentações. Comunicação de dados. Multimídia e realidade virtual. Redes de computadores; Internet (organização e serviços); correio eletrônico; navegadores (browsers); busca na Internet; servidores WWW, serviços Web, páginas HTML, aplicações em n-camadas.	INTRODUÇÃO À COMPUTAÇÃO	1	MARÇULA, M., FILHO, P. A. B. Informática , Conceitos e Aplicações. 1a edição. Editora Érica, 2005. - BROOKSHEAR, J. G., Ciência da Computação: Uma Visão Abrangente. 7a edição. Bookman, 2005.	FEDELI, R. D., POLLONI, E. G. F., PERES, F. E. Introdução à Ciência da Computação . Thomsom Learning, 2003. - VELLOSO, F. de C. Informática Conceitos Básicos. 6a edição. Editora Campus, 2003 - MEYER, M. et al. Nosso Futuro e o Computador . 3a edição. Bookman, 2000. - BOGHI, C., SHITSUKA, R. Sistemas de Informação: Um Enfoque Dinâmico . São Paulo. Editora Érica, 2002. - ELMASRI, R. NAVATHE, S. B. Sistemas de Banco de Dados . LTC, 2002. - LAUDON, K e LAUDON, J. Management Information Systems. 6a edição. Prentice Hall,1999. - LOUKIDES, M. ORAM, A. Programando com Ferramentas GNU”. Conectiva OReilly, 2000. - MASIERO, P C. Ética em Computação . Editora Edusp, 2000. - OLIVEIRA, D. P. R. Sistemas de Informações Gerenciais: Estratégicas, Táticas, Operacionais . São Paulo: Atlas, 2004. - PAIXÃO, R. R., HONDA, R. Processadores Intel . Editora Érica, 1999. - PFAFFENBERGER, B. Computers in Your Future 2003 . Prentice Hall, 2003. - POLLONI, E. G. Sistemas de Informação - Estudo de Viabilidade . Editora Futura, 2001. - TANENBAUM, A. S. Sistemas Operacionais Modernos . São Paulo: Prentice-Hall, 2003. - VAUGHAN, T. Multimídia na Prática . Makron Books, 1994. - WHITE, R. Como Funciona o Computador . 4a edição. Editora Quark, 1993.	A DEFINIR
14	16	48	Estudo dos conceitos de linguagens de programação e dos paradigmas de programação: procedural, orientado a objetos, funcional e lógico. Comparação entre linguagens de programação quanto às estruturas de dados, estruturas de controle, ambiente de execução, verificação de tipos, expressões, construção de subprogramas. Levantamento das características desejáveis em uma linguagem de programação, sintaxe e semântica. Reflexão sobre critérios de seleção de linguagens de programação de acordo com as especificidades das aplicações específicas.	LINGUAGENS DE PROGRAMAÇÃO	1	SEBESTA R. W. - Concepts of programming languages - 8a ed. Addison-Wesley, 2007.	GHEZZI, C. & JAZAYERI, M. – Programming Languages Concepts. 2a. ed. John Wiley & Sons, New York, 1997.	A DEFINIR
15	0	64	Gramáticas, Linguagens regulares, livres de contexto e sensíveis ao contexto. Tipos de reconhecedores. Operações com linguagens. Propriedades de linguagens. Autômatos de estados finitos. Autômatos de pilha. Máquina de Turing.	LINGUAGENS FORMAIS E AUTÔMATOS	1	HOPCROFT, J.E., ULLMAN, J Introdução à teoria de Autômatos, Linguagens e Computação. Ed. Campus. 2002 - LEWIS, H.R., PAPADIMITRIOU, C.H. Elementos de Teoria da Computação. 2 ed. Porto Alegre : Bookman Cia. Editora, 2000.	SUDKAMP, Thomas A., Languages and Machines. Addison Wesley Publishing Company. 1997. Second Edition. - WOOD, D. Theory of Computation, EUA : John Wiley & Sons, 1987.. - SIPSER, M. Introduction to the Theory of Computation. EUA : PWS Pub. Co., 1997. - MORET, B.M. The Theory of Computation. EUA : Addison-Wesley Pub. Co., 1997. - MENEZES, Linguagens Formais e Autômatos, Série UFRGS 03, Editora Sagra.	A DEFINIR
16	0	64	Lógica Proposicional. Proposições e conectivos. Operações Lógicas sobre proposições. Construção de tabelas-verdade. Tautologias, contradições e contingências. Implicação Lógica. Equivalência Lógica. Álgebra das proposições. Métodos para determinação da validade de fórmulas da Lógica Proposicional. Demonstração condicional e demonstração indireta. Lógica de Predicados.	LÓGICA MATEMÁTICA	1	SOUZA, João Nunes de. Lógica para Ciência da Computação. Editora Campus 2002. - Alencar Filho, Edgard de, Iniciação à Lógica Matemática. Ed. Nobel 2002.	Mendelson, E. Introduction to Mathematical Logic. Lewis Publishers, Inc. 1997. - Enderton, H. A Mathematical Introduction to Logic. Academic Press 2000 - DAGHLIAN, Jacob, Lógica e Álgebra de Boole. –4a edição, Atlas, S. A . São Paulo, 1995.	A DEFINIR
17	0	64	Conjuntos, Relações, funções, ordens parciais e totais, Indução matemática, recursão, Teoria de números, criptografia.	MATEMÁTICA DISCRETA	1	GERSTING, Judith L., Fundamentos Matemáticos para a Ciência da Computação. 3a. edição, Editora LTC. - SCHEINERMAN, E. . MATEMATICA DISCRETA, THOMSON PIONEIRA, 2003.	ROSEN, K. Discrete Mathematics and its Applications. McGraw-Hill Science/Engineering/Math; 5th edition., 2002. - TREMBLEY and Manohar. Discrete Mathematical Structures with Applications to Computer Science. McGraw-Hill. - Ross and Wright. Discrete Mathematics. Prentice-Hall. - GRIMALDI. Discrete and Combinatorial Mathematics—An Applied Introduction. Addison-Wesley. - ALBERTSON and Hutchinson. Discrete Mathematics with Applications. John Wiley & Sons. - Kenneth, R. Exploring Discrete Mathematics With Maple, McGraw-Hill Science/Engineering/Math; 4th edition	A DEFINIR
18	32	32	Visão geral dos sistemas multimídia. Autoria: plataformas para multimídia e ferramentas de desenvolvimento. Imagens: representação digital, dispositivos gráficos e processamento. Representação de figuras e animação. Vídeo: interfaces e processamento. Métodos de compactação de vídeo. Som: propriedades físicas, representação digital, processamento e síntese. Métodos de compactação de som. Ferramentas para geração de Hipertextos. Padrões HTML, XML, SMIL e VRML. Sistemas operacionais multimídia. Sistemas de comunicação multimídia. Sincronização. Aplicações multimídia.	MULTIMÍDIA	1	01.STEINMETZ, R. e NAHRSTEDT. Multimedia: Computing, Communications & Applications. Prentice Hall,1995.	FILHO, Paula; PADUA, Wilson .Multimidia Conceitos e Aplicações. LTC, 2000. - PINTO, Marcos José. Flash 4. São Paulo, 1999	A DEFINIR
19	0	64	Modelos Lineares de Otimização. Programação Linear. Algoritmo Simplex. Dualidade. Análise de Sensibilidade. Modelos de Redes. Programação Inteira. Programação Dinâmica.	PESQUISA OPERACIONAL	1	HILLIER, Frederick S. and LIEBERMAN, Gerald J. Introduction to Operations - Research. McGraw-Hill Science/Engineering/Math; 7th edition (March 22, 2002)	GOLDBARG, Marco Cesar e LUNA, Henrique Pacca L. Otimização Combinatória e Programação Linear: Modelos e Algoritmos. Editora Campus. Seg. Edição 2005. - B. S. Bazaraa. Linear programming and network Flows. J. Wiley, 1990. - MAHMUT PARLAR. Interactive Operations Research With Maple: Methods and Models. Birkhauser (August 2000). - WINSTON,Wayne L Operations Research Applications and Algorithms. Duxbury Press3 edition (January 13, 1997). - SILVA, Ermes et al., Pesquisa Operacional - Programação linear Simulação, Atlas, 1998 - BRONSON, R. Pesquisa Operacional, McGrawHill, 1985 - PRADO,D. Programação Linear, Ed. DG, 1999	A DEFINIR
20	32	32	Lógica de programação; constantes; tipos de dados primitivos; variáveis; atribuição; expressões aritméticas e lógicas; estruturas de decisão; estruturas de controle; estruturas de dados homogêneas e heterogêneas: vetores (arrays) e matrizes; funções; recursão. Desenvolvimento de algoritmos. Transcrição de algoritmos para uma linguagem de programação. Domínio de uma linguagem de programação: sintaxe e semântica; estilo de codificação; ambiente de desenvolvimento. Desenvolvimento de pequenos programas.	PROGRAMAÇÃO DE COMPUTADORES I	1	Cormen T. H. et al., Introduction to Algorithms, 2nd edition, MIT Press, 2001. - Manber, Udi., Introduction to Algorithms: A Creative Approach, Pearson Education, 1989. - Cormen T. H. et al., Algoritmos: Teoria e Prática, Tradução da 2a Edição Ed. Campus, 2002 - Forbellone, A.L.V. e Eberspacher, H.F., Lógica de Programação - A construção de algoritmos e estruturas de dados, 3a ed., Prentice Hall, São Paulo, 2005. - Manzano, José Augusto N. G. e Oliveira, J. F., Algoritmos – Lógica para Desenvolvimento de Programação de Computadores, Editora Érica, São Paulo, 2000. - Salvetti, D.D. e Barbosa, L.M., Algoritmos, Makron Books, São Paulo, 1998. - Saliba, W.L.C., Técnicas de Programação - Uma abordagem estruturada, Makron Books, São Paulo, 1993. - Farrer, H. e outros, Programação Estruturada de Computadores - Algoritmos Estruturados, 3a ed., LTC, RJ, 1989. - Tremblay, J.-P Bunt, R.B., Ciência dos Computadores - Uma Abordagem .e Algorítmica, McGraw-Hill do Brasil, São Paulo, 1983.	Cormen T. H. et al., Introduction to Algorithms, 2nd edition, MIT Press, 2001. Manber, Udi., Introduction to Algorithms: A Creative Approach, Pearson Education, 1989. - Cormen T. H. et al., Algoritmos: Teoria e Prática, Tradução da 2a Edição Ed. Campus, 2002 - Forbellone, A.L.V. e Eberspacher, H.F., Lógica de Programação - A construção de algoritmos e estruturas de dados, 3a ed., Prentice Hall, São Paulo, 2005. - Manzano, José Augusto N. G. e Oliveira, J. F., Algoritmos – Lógica para Desenvolvimento de Programação de Computadores, Editora Érica, São Paulo, 2000. - Salvetti, D.D. e Barbosa, L.M., Algoritmos, Makron Books, São Paulo, 1998. - Saliba, W.L.C., Técnicas de Programação - Uma abordagem estruturada, Makron Books, São Paulo, 1993. - Farrer, H. e outros, Programação Estruturada de Computadores - Algoritmos Estruturados, 3a ed., LTC, RJ, 1989. - Tremblay, J.-P Bunt, R.B., Ciência dos Computadores - Uma Abordagem. e Algorítmica, McGraw-Hill do Brasil, São Paulo, 1983	A DEFINIR
21	32	32	Aprofundamento das técnicas de programação de computadores, especialmente quanto à implementação de programas em uma linguagem procedural e de alto nível. A implementação de programas deve ser feita utilizando uma ferramenta/ambiente de desenvolvimento que permita a edição, compilação, depuração dos códigos, empacotamento e distribuição. Interpretação de enunciados de problemas e a elaboração de soluções na forma de programas implementados em uma linguagem de alto nível. Elaboração de programas modularizados, criando funções e procedimentos, funções recursivas, e utilizando bibliotecas. Domínio de uma linguagem de programação procedural quanto à sintaxe, semântica, estilo, convenções, ferramenta/ambiente de desenvolvimento. Implementação de programas utilizando, de forma aprofundada, estruturas de dados homogêneas e heterogêneas, ponteiros e referências de memória, e manipulação de arquivos (streams).	PROGRAMAÇÃO DE COMPUTADORES II	1	Cormen T. H. et al., Introduction to Algorithms, 2nd edition, MIT Press, 2001.	Cormen T. H. et al., Introduction to Algorithms, 2nd edition, MIT Press, 2001.	A DEFINIR
22	32	32	Estudo do modelo de programação orientada a objetos, abordando abstração, encapsulamento, classes, métodos, objetos, herança, polimorfismo. Construção de aplicações orientadas a objeto envolvendo interfaces gráficas, manipulação de eventos, tratamento de exceções, uso de streams e tratamento de concorrência com threads. A implementação das aplicações deve ser feita utilizando ferramentas de desenvolvimento com testes de unidade, depuração e controle de versão. Introdução ao projeto orientado a objetos com noções de UML, padrões de projeto (design patterns) e arquitetura de software.	PROGRAMAÇÃO ORIENTADA A OBJETOS	1	DEITEL, H. M. and Deitel, P J. Java Como Programar. 6a . edição. Pearson, 2006.	SANTOS, R., Introdução a Programação Orientada a Objetos com Java, Campus, 2003. - GAMMA E. et al. Design Patterns, Addison-Wesley, 1995. - TIMOTHY, B., An Introduction to Object-Oriented Programming. Addison Wesley, 1996	A DEFINIR
23	32	32	Princípios de projeto de software. O contexto do design no Ciclo de Vida do Software. Processos de design: arquitetura e detalhamento. Arquitetura de software (definição, principais estruturas). Padrões macro-arquiteturais (estilos de arquitetura). Padrões micro-arquiteturais (padrões de projeto ou design patterns). Aspectos notáveis de design (concorrência, controle de eventos, distribuição, tratamento de exceções, tolerância a falhas, interface e persistência). Modelagem e notações para projeto estático (estrutura) e dinâmico (comportamento) de software. Métodos de projeto. Métricas e avaliação da qualidade de design de software. Considerações práticas: desenvolvimento e documentação de software design. Normas e padrões pertinentes.	PROJETO DE SOFTWARE	1			A DEFINIR
24	16	48	Estudo e compreensão dos princípios fundamentais de modelos de referência de redes de computadores. Estudo e compreensão dos princípios e protocolos da Camada de Aplicação, com ênfase no desenvolvimento de aplicações em rede e no estudo das principais aplicações da Internet. Estudo e compreensão dos fundamentos da Camada de Transporte, compreendendo protocolos de transferência confiável de dados, modelos de serviço com e sem conexão, controle de fluxo, e controle de congestionamento, além dos protocolos de transporte utilizados na Internet. Estudo e compreensão dos conceitos da Camada de Redes, seus modelos de arquitetura (datagramas e circuitos virtuais), protocolos de nível 3 da Internet, arquitetura de roteadores, protocolos de roteamento, broadcast e multicast, e configuração de redes.	REDES DE COMPUTADORES I	1	KUROSE, J.F.; ROSS, K. – Redes de Computadores e a Internet, 3a. Edição. Pearson Education, 2005 - PETERSON, L.L.; DAVIE, B.S. – Redes de Computadores: Uma Abordagem de Sistemas, 3a. Edição. Campus-Elsevier, 2004. - TANENBAUM, A. S., Computer Networks, 4th Edition, Prentice Hall, 2006.	KUROSE, J.F.; ROSS, K. – Redes de Computadores e a Internet, 3a. Edição. Pearson Education, 2005 - PETERSON, L.L.; DAVIE, B.S. – Redes de Computadores: Uma Abordagem de Sistemas, 3a. Edição. Campus-Elsevier, 2004. - TANENBAUM, A. S., Computer Networks, 4th Edition, Prentice Hall, 2006.	A DEFINIR
25	16	48	Compreender os conceitos e tecnologias da Camada de Enlace, incluindo protocolos ponto-a-ponto e redes de meio compartilhado, protocolos de acesso ao meio, redes locais, dispositivos de interconexão de redes (switches e hubs), e redes de alta velocidade. Estudar os conceitos da Camada Física e os princípios básicos de telecomunicações e transmissão de dados. Compreender os conceitos e tecnologias de Redes Sem Fio, incluindo redes de área local (WLAN), pessoal (WPAN) e de longa distância (WWAN), abordando também os princípios básicos de redes de telefonia celular e da convergência entre redes de telefonia móvel e redes sem fio de computadores. Estudar e praticar o uso dos conceitos fundamentais e protocolos de Gerenciamento de Redes, com ênfase no gerenciamento de redes baseadas na Internet. Entender os princípios e aplicações dos protocolos de Segurança em redes de computadores.	REDES DE COMPUTADORES II	1	KUROSE, J.F.; ROSS, K. – Redes de Computadores e a Internet, 3a. Edição. Pearson Education, 2005 - PETERSON, L.L.; DAVIE, B.S. – Redes de Computadores: Uma Abordagem de Sistemas, 3a. Edição. Campus-Elsevier, 2004. - TANENBAUM, A. S., Computer Networks, 4th Edition, Prentice Hall, 2006.	KUROSE, J.F.; ROSS, K. – Redes de Computadores e a Internet, 3a. Edição. Pearson Education, 2005 - PETERSON, L.L.; DAVIE, B.S. – Redes de Computadores: Uma Abordagem de Sistemas, 3a. Edição. Campus-Elsevier, 2004. - TANENBAUM, A. S., Computer Networks, 4th Edition, Prentice Hall, 2006.	A DEFINIR
26	32	0	Visão geral de segurança e auditoria de sistemas de informação (riscos, planos de contingência e outros). Autenticação, autorização, integridade e confidencialidade. Criptografia. Chave pública. Certificado digital. Assinatura digital. Protocolos. Prática (estudantes deverão ser expostos a código, bibliotecas e uso destes).	SEGURANÇA E AUDITORIA DE SISTEMAS	1	ISO/IEC. Norma 17799 - Tecnologia da Informação – Código de Prática para Gestão da Segurança de Informações, 2000.	Foundations of Security: What Every Programmer Needs to Know, Neil Daswani et al., Apress, 2007. - SCHMIDT, Paulo; SANTOS, Jose Luiz dos; ARIMA, Carlos Hideo. Fundamentos de Auditoria de Sistemas Rio de Janeiro, Atlas , 2006.	A DEFINIR
27	16	48	Introduzir os conceitos fundamentais de sistemas distribuídos, a caracterização de sistemas de computação distribuída, aplicações distribuídas (características e aspectos de projeto), objetivos básicos de sistemas distribuídos (transparência, abertura, escalabilidade etc). Estudar e dominar os princípios e aplicações dos principais modelos de sistemas distribuídos: sistemas cliente/servidor e sistemas multi-camadas; sistemas peer-to-peer. Compreender a teoria e prática de objetos distribuídos: interface x implementação; objetos remotos; chamadas de métodos remotos (RMI). Estudar e compreender algumas das principais tecnologias e padrões de middleware de processamento distribuído aberto, incluindo a caracterização de sistemas ODP; o uso de middleware como suporte para o desenvolvimento de aplicações em ambientes distribuídos abertos; exemplos de plataformas de middleware e seu uso. Estudar os princípios e uso dos principais serviç - Os de sistemas distribuídos: serviços de nomes; compartilhamento de documentos / recursos distribuídos (ex.: WWW e sistemas de trabalho cooperativo); segurança. Estudar os fundamentos de tolerância a falhas em sistemas distribuídos: comunicação confiável; replicação e manutenção de consistência entre réplicas; controle de concorrência e transações distribuídas; comunicação de grupo. Compreender as noções básicas de sistemas de multimídia distribuída: características da comunicação de dados multimídia, qualidade de serviço, gerenciamento de recursos, adaptação de fluxos de mídia. Estudar alguns tópicos avançados em Sistemas Distribuídos não contemplados na ementa.	SISTEMAS DISTRIBUÍDOS	1	COULOURIS, G. F.; DOLLIMORE, J.; KINDBERG, T. - Sistemas Distribuídos: Conceitos e Projeto, 4a. Edição. Pearson Education, 2007.	TANENBAUM, A.S.; STEEN, M. – Sistemas Distribuídos: Princípios e Paradigmas, 2a. Edição. Pearson Education, 2007.	A DEFINIR
28	16	48	Sistemas de gerenciamento de Banco de Dados (SGBD): arquitetura e aspectos operacionais; Organização de Dados e Estruturas de Armazenamento, algebra Relacional, Processamento de consultas; Controle de concorrência, Recuperação de falhas, Gerência de Implementação de SGBD. transações; Segurança. Estudos de Projeto e Implementação de SGBD.	SISTEMAS GERENCIADORES DE BANCO DE DADOS	1	ELMASRI, NAVATHE. Sistemas de Banco de Dados - Fundamentos e Aplicações. Editora: 4a Edição. Addison-Wesley, 2005	CONNOLLY, BEGG, Database Systems, 3rd. Edition, Addison Wesley, 2002 - ELMASRI, Navathe, Fundamentals of Database Systems, 5/E. Editora: Addison Wesley Higher Education, 2006 - KORTH, SILBERSCHATZ, SUDARSHAN. Database System Concepts McGraw-Hill Science/Engineering/Math; 5 edition (May 17, 2005) - KORTH, SILBERSCHATZ, Sistemas de Banco de Dados, 5a. Edição, Campus, 2006 - DATE, C, J.Introdução a Sistemas de Banco de Dados. 8o Edição, Campus, 2005.	A DEFINIR
